Date,Articles,"Article[Sentiment,Magnitude]"
01/01/2017,"[[0.0, 1.7999999523162842], [0.20000000298023224, 17.0], [-0.10000000149011612, 2.9000000953674316], [-0.699999988079071, 2.799999952316284], [0.0, 5.699999809265137], [-0.20000000298023224, 4.0], [-0.20000000298023224, 3.799999952316284], [0.0, 3.5999999046325684], [0.0, 11.5], [0.0, 4.0]]","[[0.0, 1.7999999523162842], [0.20000000298023224, 17.0], [-0.10000000149011612, 2.9000000953674316], [-0.699999988079071, 2.799999952316284], [0.0, 5.699999809265137], [-0.20000000298023224, 4.0], [-0.20000000298023224, 3.799999952316284], [0.0, 3.5999999046325684], [0.0, 11.5], [0.0, 4.0]]"
01/02/2017,"[[-0.20000000298023224, 1.5], [0.20000000298023224, 6.099999904632568], [0.10000000149011612, 3.5999999046325684], [-0.20000000298023224, 8.199999809265137], [0.0, 3.0999999046325684], [-0.10000000149011612, 3.299999952316284], [0.0, 1.7999999523162842], [-0.10000000149011612, 0.800000011920929], [0.0, 16.700000762939453], [-0.20000000298023224, 4.300000190734863]]","[[-0.20000000298023224, 1.5], [0.20000000298023224, 6.099999904632568], [0.10000000149011612, 3.5999999046325684], [-0.20000000298023224, 8.199999809265137], [0.0, 3.0999999046325684], [-0.10000000149011612, 3.299999952316284], [0.0, 1.7999999523162842], [-0.10000000149011612, 0.800000011920929], [0.0, 16.700000762939453], [-0.20000000298023224, 4.300000190734863]]"
01/03/2017,"[[0.10000000149011612, 1.899999976158142], [-0.6000000238418579, 3.299999952316284], [0.20000000298023224, 12.100000381469727], [0.30000001192092896, 3.4000000953674316], [0.10000000149011612, 4.199999809265137], [-0.10000000149011612, 7.599999904632568], [-0.30000001192092896, 9.5], [0.0, 10.0], [-0.30000001192092896, 6.0], [-0.20000000298023224, 1.899999976158142]]","[[0.10000000149011612, 1.899999976158142], [-0.6000000238418579, 3.299999952316284], [0.20000000298023224, 12.100000381469727], [0.30000001192092896, 3.4000000953674316], [0.10000000149011612, 4.199999809265137], [-0.10000000149011612, 7.599999904632568], [-0.30000001192092896, 9.5], [0.0, 10.0], [-0.30000001192092896, 6.0], [-0.20000000298023224, 1.899999976158142]]"
01/04/2017,"[[0.0, 4.400000095367432], [0.0, 3.299999952316284], [-0.20000000298023224, 14.199999809265137], [-0.30000001192092896, 1.399999976158142], [-0.20000000298023224, 1.600000023841858], [-0.4000000059604645, 2.0], [0.0, 11.699999809265137], [0.0, 15.699999809265137], [0.0, 8.199999809265137], [-0.10000000149011612, 1.2999999523162842]]","[[0.0, 4.400000095367432], [0.0, 3.299999952316284], [-0.20000000298023224, 14.199999809265137], [-0.30000001192092896, 1.399999976158142], [-0.20000000298023224, 1.600000023841858], [-0.4000000059604645, 2.0], [0.0, 11.699999809265137], [0.0, 15.699999809265137], [0.0, 8.199999809265137], [-0.10000000149011612, 1.2999999523162842]]"
01/05/2017,"[[-0.20000000298023224, 1.7000000476837158], [-0.20000000298023224, 7.199999809265137], [-0.10000000149011612, 3.0], [-0.20000000298023224, 1.899999976158142], [0.20000000298023224, 23.200000762939453], [-0.10000000149011612, 11.0], [0.10000000149011612, 10.300000190734863], [-0.20000000298023224, 1.600000023841858], [0.0, 3.9000000953674316], [-0.20000000298023224, 5.900000095367432]]","[[-0.20000000298023224, 1.7000000476837158], [-0.20000000298023224, 7.199999809265137], [-0.10000000149011612, 3.0], [-0.20000000298023224, 1.899999976158142], [0.20000000298023224, 23.200000762939453], [-0.10000000149011612, 11.0], [0.10000000149011612, 10.300000190734863], [-0.20000000298023224, 1.600000023841858], [0.0, 3.9000000953674316], [-0.20000000298023224, 5.900000095367432]]"
01/06/2017,"[[-0.10000000149011612, 9.699999809265137], [-0.10000000149011612, 2.299999952316284], [0.30000001192092896, 8.0], [-0.20000000298023224, 11.0], [0.0, 1.399999976158142], [-0.20000000298023224, 1.899999976158142], [-0.30000001192092896, 2.700000047683716], [0.0, 13.699999809265137], [0.10000000149011612, 2.200000047683716], [0.10000000149011612, 2.200000047683716]]","[[-0.10000000149011612, 9.699999809265137], [-0.10000000149011612, 2.299999952316284], [0.30000001192092896, 8.0], [-0.20000000298023224, 11.0], [0.0, 1.399999976158142], [-0.20000000298023224, 1.899999976158142], [-0.30000001192092896, 2.700000047683716], [0.0, 13.699999809265137], [0.10000000149011612, 2.200000047683716], [0.10000000149011612, 2.200000047683716]]"
01/07/2017,"[[0.0, 10.600000381469727], [0.0, 6.900000095367432], [-0.20000000298023224, 7.699999809265137], [-0.30000001192092896, 5.300000190734863], [0.0, 8.899999618530273], [0.0, 5.400000095367432], [0.0, 5.900000095367432], [0.4000000059604645, 0.8999999761581421], [0.4000000059604645, 0.8999999761581421], [0.4000000059604645, 0.8999999761581421]]","[[0.0, 10.600000381469727], [0.0, 6.900000095367432], [-0.20000000298023224, 7.699999809265137], [-0.30000001192092896, 5.300000190734863], [0.0, 8.899999618530273], [0.0, 5.400000095367432], [0.0, 5.900000095367432], [0.4000000059604645, 0.8999999761581421], [0.4000000059604645, 0.8999999761581421], [0.4000000059604645, 0.8999999761581421]]"
01/08/2017,"[[-0.10000000149011612, 3.299999952316284], [-0.5, 2.299999952316284], [-0.20000000298023224, 3.0], [0.4000000059604645, 0.8999999761581421], [0.0, 11.399999618530273], [0.10000000149011612, 9.699999809265137], [0.0, 10.300000190734863], [-0.10000000149011612, 4.699999809265137], [0.0, 2.799999952316284], [-0.30000001192092896, 8.100000381469727]]","[[-0.10000000149011612, 3.299999952316284], [-0.5, 2.299999952316284], [-0.20000000298023224, 3.0], [0.4000000059604645, 0.8999999761581421], [0.0, 11.399999618530273], [0.10000000149011612, 9.699999809265137], [0.0, 10.300000190734863], [-0.10000000149011612, 4.699999809265137], [0.0, 2.799999952316284], [-0.30000001192092896, 8.100000381469727]]"
01/09/2017,"[[0.0, 4.5], [-0.4000000059604645, 3.0], [0.0, 2.799999952316284], [0.0, 1.2000000476837158], [0.4000000059604645, 0.8999999761581421], [0.20000000298023224, 3.5999999046325684], [0.0, 2.299999952316284], [-0.30000001192092896, 2.200000047683716], [-0.4000000059604645, 4.0], [-0.10000000149011612, 5.199999809265137]]","[[0.0, 4.5], [-0.4000000059604645, 3.0], [0.0, 2.799999952316284], [0.0, 1.2000000476837158], [0.4000000059604645, 0.8999999761581421], [0.20000000298023224, 3.5999999046325684], [0.0, 2.299999952316284], [-0.30000001192092896, 2.200000047683716], [-0.4000000059604645, 4.0], [-0.10000000149011612, 5.199999809265137]]"
01/10/2017,"[[0.0, 10.100000381469727], [-0.4000000059604645, 9.399999618530273], [0.10000000149011612, 7.0], [0.0, 14.399999618530273], [0.30000001192092896, 4.5], [-0.30000001192092896, 2.0999999046325684], [-0.699999988079071, 3.5999999046325684], [0.4000000059604645, 8.100000381469727], [-0.10000000149011612, 10.5], [-0.800000011920929, 0.800000011920929]]","[[0.0, 10.100000381469727], [-0.4000000059604645, 9.399999618530273], [0.10000000149011612, 7.0], [0.0, 14.399999618530273], [0.30000001192092896, 4.5], [-0.30000001192092896, 2.0999999046325684], [-0.699999988079071, 3.5999999046325684], [0.4000000059604645, 8.100000381469727], [-0.10000000149011612, 10.5], [-0.800000011920929, 0.800000011920929]]"
