Date,"Article[Sentiment,Magnitude]"
1/7/14,"[[0.0, 17.5], [0.0, 10.100000381469727], [-0.30000001192092896, 5.900000095367432], [0.0, 6.300000190734863], [0.0, 4.099999904632568], [0.30000001192092896, 6.900000095367432], [0.0, 10.699999809265137], [0.0, 4.900000095367432], [-0.699999988079071, 0.699999988079071], [0.0, 6.699999809265137]]"
1/8/14,"[[-0.30000001192092896, 1.399999976158142], [0.0, 6.099999904632568], [-0.5, 1.0], [-0.5, 12.600000381469727], [0.0, 6.699999809265137], [-0.20000000298023224, 3.799999952316284], [0.0, 20.399999618530273], [0.10000000149011612, 4.300000190734863], [0.0, 3.799999952316284], [-0.10000000149011612, 5.5]]"
1/9/14,"[[0.0, 7.199999809265137], [-0.4000000059604645, 12.300000190734863], [-0.20000000298023224, 4.699999809265137], [-0.10000000149011612, 11.0], [-0.5, 1.7000000476837158], [-0.30000001192092896, 0.6000000238418579], [0.0, 24.0], [-0.30000001192092896, 7.300000190734863], [0.10000000149011612, 2.299999952316284], [-0.10000000149011612, 3.9000000953674316]]"
1/10/14,"[[0.20000000298023224, 10.199999809265137], [-0.10000000149011612, 9.100000381469727], [0.0, 7.0], [0.20000000298023224, 4.699999809265137], [0.0, 0.699999988079071], [0.0, 1.7000000476837158], [0.20000000298023224, 5.300000190734863], [0.10000000149011612, 5.699999809265137], [0.20000000298023224, 8.600000381469727], [0.30000001192092896, 6.099999904632568]]"
1/11/14,"[[0.10000000149011612, 9.399999618530273], [0.20000000298023224, 3.700000047683716], [0.10000000149011612, 9.0], [-0.10000000149011612, 40.599998474121094], [-0.10000000149011612, 15.100000381469727], [-0.10000000149011612, 12.300000190734863], [-0.20000000298023224, 9.800000190734863], [-0.10000000149011612, 2.5]]"
1/12/14,"[[0.0, 1.2999999523162842], [0.0, 2.200000047683716], [0.4000000059604645, 9.600000381469727], [0.20000000298023224, 13.300000190734863]]"
1/13/14,"[[-0.20000000298023224, 2.200000047683716], [0.0, 2.700000047683716], [0.0, 10.899999618530273], [0.0, 8.300000190734863], [-0.10000000149011612, 6.5], [0.0, 9.5], [0.0, 12.899999618530273], [0.0, 11.100000381469727], [0.10000000149011612, 1.7000000476837158], [0.0, 6.199999809265137]]"
1/14/14,"[[-0.10000000149011612, 1.600000023841858], [0.0, 1.899999976158142], [-0.20000000298023224, 0.5], [-0.10000000149011612, 60.0], [-0.5, 4.0], [0.0, 10.100000381469727], [0.0, 8.199999809265137], [0.0, 2.9000000953674316], [0.0, 2.0], [0.30000001192092896, 4.599999904632568]]"
1/15/14,"[[0.0, 1.5], [0.0, 7.400000095367432], [0.0, 3.200000047683716], [-0.20000000298023224, 5.699999809265137], [-0.10000000149011612, 4.599999904632568], [0.0, 3.9000000953674316], [0.0, 6.0], [-0.4000000059604645, 4.400000095367432], [0.0, 3.0], [-0.20000000298023224, 17.0]]"
1/16/14,"[[0.0, 19.0], [-0.10000000149011612, 4.599999904632568], [0.10000000149011612, 1.2999999523162842], [0.0, 8.699999809265137], [-0.6000000238418579, 1.2999999523162842], [0.0, 18.0], [0.10000000149011612, 4.199999809265137], [-0.10000000149011612, 7.400000095367432], [0.10000000149011612, 6.800000190734863], [0.0, 4.5]]"
1/17/14,"[[0.0, 13.899999618530273], [0.10000000149011612, 2.0], [-0.20000000298023224, 4.400000095367432], [0.0, 27.399999618530273], [-0.10000000149011612, 21.100000381469727], [0.30000001192092896, 3.9000000953674316], [0.20000000298023224, 4.5], [0.0, 7.199999809265137], [0.0, 1.5], [-0.20000000298023224, 2.299999952316284]]"
1/18/14,"[[-0.10000000149011612, 4.0], [0.10000000149011612, 18.0], [0.10000000149011612, 9.100000381469727], [-0.4000000059604645, 5.400000095367432], [-0.20000000298023224, 4.199999809265137], [0.0, 4.099999904632568], [0.10000000149011612, 3.0999999046325684], [-0.30000001192092896, 5.599999904632568], [-0.30000001192092896, 2.200000047683716]]"
1/19/14,"[[0.0, 8.0], [0.0, 16.899999618530273], [0.0, 20.200000762939453], [0.4000000059604645, 3.0999999046325684]]"
1/20/14,"[[-0.20000000298023224, 8.199999809265137], [0.0, 2.5999999046325684], [-0.20000000298023224, 10.0], [0.0, 1.600000023841858], [0.4000000059604645, 1.2000000476837158], [0.20000000298023224, 6.699999809265137], [-0.30000001192092896, 2.200000047683716], [0.0, 6.699999809265137], [-0.20000000298023224, 1.7000000476837158], [-0.20000000298023224, 3.200000047683716]]"
1/21/14,"[[0.10000000149011612, 3.200000047683716], [0.0, 7.400000095367432], [0.0, 35.29999923706055], [0.10000000149011612, 20.5], [0.0, 6.699999809265137], [-0.20000000298023224, 7.5], [-0.30000001192092896, 3.299999952316284], [0.10000000149011612, 3.799999952316284], [-0.10000000149011612, 4.699999809265137], [0.20000000298023224, 5.0]]"
1/22/14,"[[0.0, 10.399999618530273], [0.0, 6.5], [0.0, 10.399999618530273], [-0.30000001192092896, 18.0], [0.0, 9.399999618530273], [0.0, 1.399999976158142], [-0.20000000298023224, 8.800000190734863], [0.10000000149011612, 1.5], [0.10000000149011612, 4.199999809265137], [0.0, 7.199999809265137]]"
1/23/14,"[[0.0, 6.199999809265137], [0.0, 11.600000381469727], [0.20000000298023224, 3.299999952316284], [0.0, 29.5], [0.0, 1.7999999523162842], [0.0, 7.099999904632568], [-0.20000000298023224, 2.4000000953674316], [-0.30000001192092896, 3.9000000953674316], [0.10000000149011612, 5.199999809265137], [0.0, 1.7999999523162842]]"
1/24/14,"[[-0.10000000149011612, 11.899999618530273], [0.0, 4.599999904632568], [0.0, 5.5], [-0.20000000298023224, 1.600000023841858], [0.0, 10.899999618530273], [0.0, 4.300000190734863], [0.0, 5.0], [0.30000001192092896, 5.300000190734863], [0.10000000149011612, 10.0], [-0.10000000149011612, 14.399999618530273]]"
1/25/14,"[[0.0, 3.4000000953674316], [0.0, 4.0]]"
